"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1935739;2604638;"";"Feodora";"DriveNow_13397833";"DIESEL";"M-DX6209";"BMW 2er Cabrio";"DriveNow";"driveNow"
1935740;1355684;"";"B-GO8390";"WDD1760121J509665";"PETROL";"";"";"car2go";"car2go"
1935741;1358744;"";"B-GO3937";"WME4533421K037896";"PETROL";"";"";"car2go";"car2go"
1935742;2307321;"";"2235 / W-84733C";"WME4533421K176999";"PETROL";"";"";"car2go";"car2go"
1935743;2574602;"";"Dagmar";"DriveNow_13152776";"ELECTRICITY";"AV75023";"BMW i3";"DriveNow";"driveNow"
1935744;2574689;"";"Caspar";"DriveNow_13423394";"PETROL";"M-DX8549";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935745;2575016;"";"Arnold";"DriveNow_13205599";"PETROL";"YB65CUV";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935746;2324069;"";"2309 / W-79344C";"WME4533421K176260";"PETROL";"";"";"car2go";"car2go"
1935747;2575337;"";"Jason (Child)";"DriveNow_13152798";"ELECTRICITY";"AV75056";"BMW i3";"DriveNow";"driveNow"
1935748;1358091;"";"1484 / W-85364C";"WME4513341K831557";"PETROL";"";"";"car2go";"car2go"
1935749;1358993;"";"1608 / W-85504C";"WME4513341K833841";"PETROL";"";"";"car2go";"car2go"
1935750;322716;"";"Lia";"DriveNow_13290665";"PETROL";"M-DX5118";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935751;483734;"";"Rosalinde";"DriveNow_13381628";"DIESEL";"M-DX5463";"BMW 1er";"DriveNow";"driveNow"
1935752;1360030;"";"1583 / W-85476C";"WME4513341K833931";"PETROL";"";"";"car2go";"car2go"
1935753;1356524;"";"S-GO2545";"WME4513901K728437";"ELECTRICITY";"";"";"car2go";"car2go"
1935754;2386111;"";"2106 / W-84752C";"WME4533421K173727";"PETROL";"";"";"car2go";"car2go"
1935755;1369598;"";"B-GO3496";"WME4533421K037089";"PETROL";"";"";"car2go";"car2go"
1935756;2575152;"";"Patrick";"DriveNow_13389192";"DIESEL";"M-DX6252";"BMW 1er";"DriveNow";"driveNow"
1935757;2574707;"";"Buster";"DriveNow_13499139";"PETROL";"PBL533";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935758;1359486;"";"B-GO5242";"WDD1760421J476073";"PETROL";"";"";"car2go";"car2go"
1935759;2379773;"";"2009 / W-84612C";"WME4533421K173409";"PETROL";"";"";"car2go";"car2go"
1935760;2575160;"";"Veronika";"DriveNow_13421428";"PETROL";"1PNY655";"BMW 1er";"DriveNow";"driveNow"
1935761;1355833;"";"B-GO3475";"WME4533421K036916";"PETROL";"";"";"car2go";"car2go"
1935762;1359068;"";"B-GO8553";"WDD1760121J510763";"PETROL";"";"";"car2go";"car2go"
1935763;583584;"";"Engin";"DriveNow_13381997";"PETROL";"M-DX5719";"BMW 1er";"DriveNow";"driveNow"
